,日期時間,分類,標題
57,['2022-09-05'],獎助學金,2021-09-05【獎學金】111-1本校「圓夢育才助學金」申請(依各審查單位公告截止時間為準)
58,['2022-09-05'],獎助學金,2022-09-05【獎學金】111-1博、碩士班暨在職進修碩士學位班優秀研究生獎學金申請(系111/10/19截止)
59,['2022-09-05'],獎助學金,2022-09-05【獎學金】111-1學士班「五育獎學金」申請(系111/10/19中午截止)
60,['2022-09-05'],獎助學金,2022-09-05【獎學金】111學年度「鄒承頤女士慈恩獎學金」申請(系111/10/19中午截止)
61,['2022-09-05'],獎助學金,2022-09-05【獎學金】111學年度「許美雲女士助學金」申請(系111/10/19中午截止)
62,['2022-09-03'],最新消息,2022-09-02【防疫公告】因應COVID-19疫情教務相關措施
63,['2022-09-02'],獎助學金,2022-09-02【獎助學金-校外】國立臺灣工藝研究發展中心獎助博碩士生研撰臺灣工藝相關研究論文
64,['2022-09-02'],最新消息,2022-09-02【座談會】111研究所新生座談會
65,['2022-09-01'],獎助學金,2022-09-01【獎助學金-校外】國際單親兒童文教基金會 2022年度單親清寒獎助學金
66,['2022-09-01'],獎助學金,2022-09-01【獎學金】111學年度地理學系優秀學生選拔&傑出學生選拔(系111/09/19截止)
67,['2022-08-31'],獎助學金,2022-08-31【獎助學金-校外】台北瑞安扶輪社『生命橋樑助學計畫獎學金』
68,['2022-08-30'],獎助學金,2022-08-30【獎助學金-校外】衛生福利部社會及家庭署「單親培力計畫」
69,['2022-08-29'],最新消息,2022-08-29【轉知】9/15前投稿「實習故事大賞競賽」贈送「超商禮卷100元」
70,['2022-08-29'],最新消息,2022-08-29【公告】111學年度學士班學生通勤置物櫃借用登記
71,['2022-08-29'],獎助學金,2022-08-29【獎學金】111學年度師資培育獎學金第二階段口試名單
72,['2022-08-25'],最新消息,2022-08-25【轉知】系友會活動~111年系友回娘家開放報名
73,['2022-08-25'],獎助學金,2022-08-25【助學金】111學年度第1學期學生生活助學金(第一類)申請(至111/09/13下午17時截止)
74,['2022-08-18'],學術活動,2022-08-18【學術】陳國章教授紀念學術研討會：臺灣地名探究~開放報名(111/09/14截止)
75,['2022-08-18'],徵人資訊,2022-08-18【徵人】新北市立三民高級中學111學年度第1學期 國中代課老師招考
76,['2022-08-15'],最新消息,2022-08-15【學分抵免】111-1學分抵免申請(111/09/12前)
77,['2022-08-15'],最新消息,2022-08-15【學分抵免】本系同學申請跨系跨校選修學分抵免/採計系專業學分
78,['2022-08-11'],獎助學金,2022-08-11【獎助學金-校外】公益財團法人日本台灣交流協會台北事務所「2022年度出席國際學術會議經費資助計畫」
79,['2022-08-11'],獎助學金,2022-08-11【獎學金】本校新生入學獎學金(111學年度入學)
80,['2022-08-09'],最新消息,2022-08-09【轉知】111年度「學生實習故事大賞競賽」
81,['2022-08-04'],徵人資訊,2022-08-04【徵人】台北市立龍門國中徵111學年度地理兼課教師
82,['2022-08-03'],榮譽榜,2022-08-03【榮譽榜】賀廖學誠教授榮任圖書館館長
83,['2022-08-03'],學術活動,2022-08-03【學術】111(1)國立臺灣師範大學地理學系學術活動
84,['2022-08-02'],最新消息,2022-08-01【人事】系主任林宗儀教授任期於2022年7月31日屆滿，新任系主任韋煙灶教授於2022年8月1日就任
85,['2022-08-02'],最新消息,2022-08-02【轉知】111-1臺師大數位學伴計畫招募
86,['2022-08-01'],徵人資訊,2022-08-01【徵人】國立臺灣師範大學地理學系徵聘教師公告
87,['2022-07-29'],獎助學金,2022-07-29【獎助學金-校外】教育部112年度「人文社會科學學術人才跨國培育計畫」補助案
88,['2022-07-29'],徵人資訊,2022-07-29【徵人】臺北市政府地政局土地開發總隊徵約僱人員（職務代理人）
89,['2022-07-28'],獎助學金,2022-07-28【獎助學金-校外】臺灣圖書館111年臺灣學博碩士論文獎助
90,['2022-07-28'],徵人資訊,2022-07-28【徵人】新北市淡水區正德國民中學誠徵地理代理缺/代課缺
91,['2022-07-25'],榮譽榜,2022-07-25【榮譽榜】本系系友教甄榜單
92,['2022-07-21'],榮譽榜,2022-07-21【榮譽榜】本系師長們培訓及帶領選手參加第18屆國際地理奧林匹亞獲1金3銀！
93,['2022-07-20'],徵人資訊,2022-07-20【徵人】韋煙灶老師誠徵科技部計畫專任助理一名
94,['2022-07-20'],學術活動,2022-07-20【徵稿啟事】第27屆臺灣地理國際學術研討會(111/09/12截止)
95,['2022-07-18'],最新消息,2022-07-18【師培】學士班申請二階甄選公告（110學年度入學者）（111.09.15截止）
96,['2022-07-13'],榮譽榜,2022-07-13【榮譽榜】賀本系博士生奈貝蒂、安薇娜獲科技部111年度獎勵人文與社會科學領域博士候選人撰寫博士論文獎勵
97,['2022-07-12'],徵人資訊,2022-07-12【徵人】中央研究院環境變遷研究中心莊銘棟老師徵專任研究助理
98,['2022-07-12'],最新消息,2022-07-12【轉知】學務處全人書院招募院生資訊(第2梯次申請截止日期：7月25日)
99,['2022-07-11'],獎助學金,2022-07-11【獎助學金-校外】中華民國區域科學學會「111年度學生（碩博士）論文獎」
100,['2022-07-04'],最新消息,2022-07-04【轉知】臺史所111-1與國家鐵道博物館籌備處合開專業實習課程，開放文學院碩士班同學修課
