地質敏感區斷層
車籠埔斷層
池上斷層
旗山斷層
新城斷層
新竹斷層
新化斷層
大尖山斷層
鹿野斷層
三義斷層
米崙斷層
大甲斷層
九芎坑斷層
瑞穗斷層
奇美斷層
六甲斷層
獅潭斷層
屯子腳斷層
嶺頂斷層
梅山斷層
小崗山斷層
